index_code,arm,epoch_length,graph_type,n_train_windows,n_test_windows,pca_dims,mean_pr,median_pr,mean_lcc_frac,modal_argmax_id,pr_localised_flag,kmeans_crisis_mu,kmeans_n_train_clusters_used,kmeans_train_point_precision,kmeans_train_point_recall,kmeans_train_point_f1,kmeans_test_point_precision,kmeans_test_point_recall,kmeans_test_point_f1,kmeans_regime_persistence_gap,kmeans_regimes_absent_test,hmm_crisis_mu,hmm_n_train_clusters_used,hmm_dwell_calm,hmm_dwell_transitional,hmm_dwell_crisis,hmm_train_point_precision,hmm_train_point_recall,hmm_train_point_f1,hmm_test_point_precision,hmm_test_point_recall,hmm_test_point_f1,hmm_regime_persistence_gap,hmm_regimes_absent_test
Nikkei225,raw,378,mst,195,72,42,25.307850588223896,19.526616893848676,1.0,TRADCO_8015,False,0.4510039908634447,3,,,,,,,0.01010904134484325,1,0.44248336108003083,3,48.000241673061986,17.86137085810594,30.67440000409154,,,,,,,0.6625402576489533,0
Nikkei225,raw,378,tmfg,195,72,47,30.01336754588515,23.498652409069315,1.0,TRADCO_8015,False,0.4574327805557288,3,,,,,,,0.01220043572984747,1,0.4574327805557288,3,19.47451922813234,31.596586101146848,21.001691259892887,,,,,,,0.05128205128205132,2
FTSE350,raw,63,mst,954,330,98,22.22362075435949,16.86803813290948,1.0,FIN_ALW,False,0.3229672480468618,3,,,,,,,0.06597869629515278,0,0.30382181432202254,3,4.987853384108713,10.603790115362289,12.463559996508137,,,,,,,0.42071451887696104,0
FTSE350,raw,63,tmfg,954,330,108,26.73746907689782,21.8973026131749,1.0,FIN_ALW,False,0.3242004353116762,3,,,,,,,0.09726868354111184,0,0.3297561407027774,3,16.56682101298148,18.695827649128823,20.000000003365646,,,,,,,0.25175850525209115,1
FTSE350,raw,132,mst,470,165,79,19.182373572645954,15.405563819742275,1.0,FIN_ALW,False,0.24872667848020524,3,,,,,,,0.09742283950617286,1,0.3445077232089159,3,10.886708807761304,20.720032939663614,13.000000000116414,,,,,,,0.22909090355781025,1
FTSE350,raw,132,tmfg,470,165,87,23.594514084081208,20.257902727180642,1.0,FIN_CTY,False,0.3396218110406832,3,,,,,,,0.036035811991070976,1,0.3445077232089159,3,27.151083912524914,15.441209709191439,13.000000000138234,,,,,,,0.03654485049833889,2
FTSE350,raw,378,mst,203,75,52,16.533383388535015,15.00032027376831,1.0,FIN_CTY,False,0.2960835107372588,3,,,,,,,0.011695906432748537,2,0.2960835107372588,3,12.812262254613486,21.38816912860854,17.999999999914525,,,,,,,0.5087472379112374,1
FTSE350,raw,378,tmfg,203,75,57,20.581391180753105,19.13747241260505,1.0,FIN_CTY,False,0.2960835107372588,3,,,,,,,0.21839035949068308,1,0.3212700590491317,3,15.075762735392336,12.049761816530737,17.51444323086398,,,,,,,0.06976744186046513,2
CSI300,raw,63,mst,909,316,30,10.108156517283568,7.884472837511664,1.0,CST_000858,False,0.41646515245696764,3,,,,,,,0.15526635434551625,0,0.5922778100507885,3,50.075511338018636,33.52167057360157,27.473728340301907,,,,,,,0.1465031838047449,0
CSI300,raw,63,tmfg,909,316,30,15.165850817042507,14.001718292987821,1.0,MAT_600219,False,0.41567415979556005,3,,,,,,,0.13446675630031513,0,0.40148254043215215,3,52.937429704950475,35.94242664968151,48.792781138487854,,,,,,,0.020981306764543423,0
CSI300,raw,132,mst,448,158,28,9.03873136405988,7.220325343667936,1.0,CST_000858,True,0.4229885348051392,3,,,,,,,0.17660106019556357,0,0.475728702579976,3,35.33284555017814,28.341889915702495,22.230183496417848,,,,,,,0.028000000000000025,2
CSI300,raw,132,tmfg,448,158,28,14.5622703122403,13.668496396410191,1.0,MAT_600219,False,0.4130301159315514,3,,,,,,,0.18669067011947682,0,0.4120512976826681,3,87.82569638915686,81.50849399575606,189.7618953248066,,,,,,,0.10228467980457712,0
CSI300,raw,378,mst,193,72,23,7.795616882416001,6.743871773794462,1.0,CST_000858,True,0.46162657836345034,3,,,,,,,0.09678340932807039,0,0.4019369898597406,3,57.80249268564065,16.23751017579055,22.262672742666652,,,,,,,0.08181781979689533,0
CSI300,raw,378,tmfg,193,72,23,13.966342430368536,13.611048658039538,1.0,MAT_600219,False,0.5228014069555544,3,,,,,,,0.05016933355834435,1,0.39771597583199836,3,inf,48.98188556527959,88.3170381763629,,,,,,,0.6560760667903525,0
