index_code,arm,epoch_length,graph_type,n_train_windows,n_test_windows,pca_dims,oov_rate_train_mean,oov_rate_test_mean,kmeans_crisis_mu,kmeans_n_train_clusters_used,kmeans_train_point_precision,kmeans_train_point_recall,kmeans_train_point_f1,kmeans_test_point_precision,kmeans_test_point_recall,kmeans_test_point_f1,kmeans_regime_persistence_gap,kmeans_regimes_absent_test,hmm_crisis_mu,hmm_n_train_clusters_used,hmm_dwell_calm,hmm_dwell_transitional,hmm_dwell_crisis,hmm_train_point_precision,hmm_train_point_recall,hmm_train_point_f1,hmm_test_point_precision,hmm_test_point_recall,hmm_test_point_f1,hmm_regime_persistence_gap,hmm_regimes_absent_test
Nikkei225,raw,63,mst,918,319,96,0.5525860689536329,0.5559038662486938,0.5268077899492772,3,,,,,,,0.010128621338277447,0,0.5477155150907702,3,16.806857270318616,12.49744671340322,13.121389197290007,,,,,,,0.14081757351375054,0
Nikkei225,raw,63,tmfg,918,319,95,0.6984401733072387,0.6978153835254945,0.5727141137497368,3,,,,,,,0.07618162499822378,0,0.5565576660462934,3,17.62576440693664,6.767129749641096,8.839033159214521,,,,,,,0.13238186787006767,0
Nikkei225,raw,132,threshold,453,159,54,0.34219765281051623,0.3637760722026792,0.5567570332778753,3,,,,,,,0.08719786470451936,0,0.5493023783903217,3,17.279659590880517,17.873805407422626,13.778681410097972,,,,,,,0.3263513692003394,0
Nikkei225,raw,132,mst,453,159,86,0.5254019031940235,0.5421685676722453,0.5407231904672742,3,,,,,,,0.10235967735967737,0,0.5421713127703521,3,25.07586551358413,14.818143520030025,11.948909692872606,,,,,,,0.05389042920173711,0
Nikkei225,raw,132,tmfg,453,159,76,0.7026041082051857,0.7022350140354617,0.5587332677840765,3,,,,,,,0.05976130473195248,0,0.5393303725146411,3,18.309418441361505,8.253598711445598,12.143361499254977,,,,,,,0.20525802034009966,0
Nikkei225,raw,378,threshold,195,72,32,0.297283789656671,0.33419648462021345,0.5069181995716503,3,,,,,,,0.17908993304391732,0,0.5032838607386302,3,27.646147937678204,9.654288150375196,13.263109625487832,,,,,,,0.13628786446440777,0
Nikkei225,raw,378,mst,195,72,69,0.5144719687092568,0.5474144695543001,0.5046802353506427,3,,,,,,,0.15028103902349976,0,0.5027442823657712,3,34.987923921584766,18.244027532061725,16.996587995203384,,,,,,,0.07784564496893265,1
Nikkei225,raw,378,tmfg,195,72,45,0.7133130522961031,0.7128844946641557,0.5061297511356858,3,,,,,,,0.250511581015235,0,0.500633336654082,3,19.879803599932508,7.280877611711584,15.277621118712272,,,,,,,0.1168244790793811,1
FTSE350,raw,63,threshold,954,330,60,0.22583000408739104,0.3302410901467505,0.3924449487813071,3,,,,,,,0.041496257170667815,0,0.3811929753092403,3,12.877140215621338,10.651870261487776,13.865970705744331,,,,,,,0.03684237277530572,1
FTSE350,raw,63,mst,954,330,98,0.44012960985193095,0.5230322088812654,0.3763455586406462,3,,,,,,,0.045707761720643426,0,0.3938647102239485,3,25.556874775616084,12.73391765058209,11.649151899463625,,,,,,,0.026336425246021162,0
